table_name,code,code_system,display,row_count,distinct_patient_count
condition,314529007,http://snomed.info/sct,Medication review due (situation),59493,6383
observation,9279-1,http://loinc.org,Respiratory rate,106522,6383
observation,788-0,http://loinc.org,Erythrocyte [DistWidth] in Blood by Automated count,25482,6383
observation,72166-2,http://loinc.org,Tobacco smoking status,104567,6383
observation,29463-7,http://loinc.org,Body Weight,110472,6383
observation,785-6,http://loinc.org,MCH [Entitic mass] by Automated count,25482,6383
observation,72514-3,http://loinc.org,Pain severity - 0-10 verbal numeric rating [Score] - Reported,219459,6383
diagnostic_report,34117-2,http://loinc.org,History and physical note,476212,6383
diagnostic_report,58410-2,http://loinc.org,CBC panel - Blood by Automated count,25482,6383
observation,777-3,http://loinc.org,"Platelets [#/volume] in Blood by Automated count",25482,6383
observation,32207-3,http://loinc.org,Platelet distribution width [Entitic volume] in Blood by Automated count,17576,6383
observation,6690-2,http://loinc.org,"Leukocytes [#/volume] in Blood by Automated count",25482,6383
observation,786-4,http://loinc.org,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,25482,6383
observation,8867-4,http://loinc.org,Heart rate,106522,6383
observation,787-2,http://loinc.org,MCV [Entitic mean volume] in Red Blood Cells by Automated count,25482,6383
observation,8302-2,http://loinc.org,Body Height,104770,6383
observation,32623-1,http://loinc.org,Platelet [Entitic mean volume] in Blood by Automated count,17576,6383
observation,718-7,http://loinc.org,Hemoglobin [Mass/volume] in Blood,25528,6383
observation,4544-3,http://loinc.org,Hematocrit [Volume Fraction] of Blood by Automated count,24960,6383
observation,85354-9,http://loinc.org,Blood Pressure panel with all children optional,116639,6383
observation,789-8,http://loinc.org,"Erythrocytes [#/volume] in Blood by Automated count",25482,6383
immunization,140,http://hl7.org/fhir/sid/cvx,"Influenza, split virus, trivalent, PF",53082,6321
procedure,430193006,http://snomed.info/sct,Medication reconciliation (procedure),58145,6314
observation,39156-5,http://loinc.org,Body mass index (BMI) [Ratio],96466,6160
encounter,185349003,http://snomed.info/sct,Encounter for check up (procedure),87127,6055
encounter,185345009,http://snomed.info/sct,Encounter for symptom (procedure),20809,5971
procedure,103697008,http://snomed.info/sct,Patient referral for dental care (procedure),46506,5953
careplan,assess-plan,http://hl7.org/fhir/us/core/CodeSystem/careplan-category,,22743,5805
procedure,171207006,http://snomed.info/sct,Depression screening (procedure),133694,5238
procedure,710841007,http://snomed.info/sct,Assessment of anxiety (procedure),41656,5118
diagnostic_report,69737-5,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7),41650,5117
observation,70274-6,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ],41650,5117
condition,66383009,http://snomed.info/sct,Gingivitis (disorder),10433,5108
procedure,710824005,http://snomed.info/sct,Assessment of health and social care needs (procedure),82494,4853
observation,93025-5,http://loinc.org,"Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]",82369,4853
encounter,162673000,http://snomed.info/sct,General examination of patient (procedure),63328,4851
condition,73595000,http://snomed.info/sct,Stress (finding),22511,4799
diagnostic_report,55757-9,http://loinc.org,Patient Health Questionnaire 2 item (PHQ-2) [Reported],64675,4797
observation,55758-7,http://loinc.org,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],64675,4797
condition,160903007,http://snomed.info/sct,Full-time employment (finding),20392,4795
procedure,428211000124100,http://snomed.info/sct,Assessment of substance use (procedure),49599,4783
procedure,866148006,http://snomed.info/sct,Screening for domestic abuse (procedure),24853,4474
diagnostic_report,76499-3,http://loinc.org,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]",24853,4474
observation,76504-0,http://loinc.org,Total score [HARK],24853,4474
encounter,185347001,http://snomed.info/sct,Encounter for problem (procedure),146744,4463
immunization,113,http://hl7.org/fhir/sid/cvx,"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed",4466,4389
observation,2571-8,http://loinc.org,Triglyceride [Mass/volume] in Serum or Plasma,48125,4273
observation,2085-9,http://loinc.org,Cholesterol in HDL [Mass/volume] in Serum or Plasma,48125,4273
observation,18262-6,http://loinc.org,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,48125,4273
diagnostic_report,57698-3,http://loinc.org,Lipid panel with direct LDL - Serum or Plasma,48125,4273
observation,2093-3,http://loinc.org,Cholesterol [Mass/volume] in Serum or Plasma,48125,4273
condition,160904001,http://snomed.info/sct,Part-time employment (finding),13176,4104
procedure,763302001,http://snomed.info/sct,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),23569,4098
diagnostic_report,72109-2,http://loinc.org,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],23569,4098
observation,75626-2,http://loinc.org,Total score [AUDIT-C],23569,4098
observation,82667-7,http://loinc.org,Total score [DAST-10],23677,4091
procedure,713106006,http://snomed.info/sct,Screening for drug abuse (procedure),23677,4091
diagnostic_report,82666-9,http://loinc.org,Drug Abuse Screening Test-10 [DAST-10],23677,4091
encounter,50849002,http://snomed.info/sct,Emergency room admission (procedure),15596,4086
