table_name,code,code_system,display,row_count,distinct_patient_count
observation,72166-2,http://loinc.org,Tobacco smoking status,104567,6383
diagnostic_report,34117-2,http://loinc.org,History and physical note,476212,6383
diagnostic_report,58410-2,http://loinc.org,CBC panel - Blood by Automated count,25482,6383
observation,6690-2,http://loinc.org,Leukocytes [#/volume] in Blood by Automated count,25482,6383
observation,786-4,http://loinc.org,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,25482,6383
observation,8867-4,http://loinc.org,Heart rate,106522,6383
observation,8302-2,http://loinc.org,Body Height,104770,6383
observation,85354-9,http://loinc.org,Blood Pressure panel with all children optional,116639,6383
immunization,140,http://hl7.org/fhir/sid/cvx,"Influenza, split virus, trivalent, PF",53082,6321
procedure,171207006,http://snomed.info/sct,Depression screening (procedure),133694,5238
diagnostic_report,69737-5,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7),41650,5117
observation,70274-6,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ],41650,5117
condition,66383009,http://snomed.info/sct,Gingivitis (disorder),10433,5108
encounter,162673000,http://snomed.info/sct,General examination of patient (procedure),63328,4851
diagnostic_report,55757-9,http://loinc.org,Patient Health Questionnaire 2 item (PHQ-2) [Reported],64675,4797
diagnostic_report,76499-3,http://loinc.org,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]",24853,4474
observation,76504-0,http://loinc.org,Total score [HARK],24853,4474
encounter,185347001,http://snomed.info/sct,Encounter for problem (procedure),146744,4463
immunization,113,http://hl7.org/fhir/sid/cvx,"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed",4466,4389
observation,2085-9,http://loinc.org,Cholesterol in HDL [Mass/volume] in Serum or Plasma,48125,4273
diagnostic_report,57698-3,http://loinc.org,Lipid panel with direct LDL - Serum or Plasma,48125,4273
diagnostic_report,72109-2,http://loinc.org,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],23569,4098
observation,82667-7,http://loinc.org,Total score [DAST-10],23677,4091
diagnostic_report,82666-9,http://loinc.org,Drug Abuse Screening Test-10 [DAST-10],23677,4091
encounter,50849002,http://snomed.info/sct,Emergency room admission (procedure),15596,4086
condition,422650009,http://snomed.info/sct,Social isolation (finding),8062,3545
encounter,33879002,http://snomed.info/sct,Administration of vaccine to produce active immunity (procedure),6409,3455
observation,2947-0,http://loinc.org,Sodium [Moles/volume] in Blood,85496,3245
observation,6299-2,http://loinc.org,Urea Nitrogen [Mass/volume] in Blood,85496,3245
encounter,410620009,http://snomed.info/sct,Well child visit (procedure),22260,3154
observation,4548-4,http://loinc.org,Hemoglobin A1c/Hemoglobin.total in Blood,77171,2997
condition,706893006,http://snomed.info/sct,Victim of intimate partner abuse (finding),5223,2939
diagnostic_report,51990-0,http://loinc.org,Basic Metabolic Panel - Blood,60459,2919
encounter,702927004,http://snomed.info/sct,Urgent care clinic (environment),29897,2730
encounter,32485007,http://snomed.info/sct,Hospital admission (procedure),3754,2667
medication_request,313782,http://www.nlm.nih.gov/research/umls/rxnorm,Acetaminophen 325 MG Oral Tablet,3372,2571
condition,271737000,http://snomed.info/sct,Anemia (disorder),2472,2472
procedure,315639002,http://snomed.info/sct,Initial patient assessment (procedure),3095,2276
diagnostic_report,59453-1,http://loinc.org,Morse Fall Scale panel,32563,2156
observation,59460-6,http://loinc.org,Fall risk total [Morse Fall Scale],32563,2156
diagnostic_report,44249-1,http://loinc.org,PHQ-9 quick depression assessment panel [Reported.PHQ],3809,1976
observation,1751-7,http://loinc.org,Albumin [Mass/volume] in Serum or Plasma,32468,1956
diagnostic_report,24323-8,http://loinc.org,Comprehensive metabolic 2000 panel - Serum or Plasma,32468,1956
observation,2885-2,http://loinc.org,Protein [Mass/volume] in Serum or Plasma,32468,1956
encounter,390906007,http://snomed.info/sct,Follow-up encounter (procedure),11581,1915
immunization,208,http://hl7.org/fhir/sid/cvx,"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose",3682,1843
condition,59621000,http://snomed.info/sct,Essential hypertension (disorder),1755,1755
medication_request,866412,http://www.nlm.nih.gov/research/umls/rxnorm,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,1667,1667
observation,3094-0,http://loinc.org,Urea nitrogen [Mass/volume] in Serum or Plasma,61457,1579
observation,17861-6,http://loinc.org,Calcium [Mass/volume] in Serum or Plasma,61457,1579
observation,2160-0,http://loinc.org,Creatinine [Mass/volume] in Serum or Plasma,61457,1579
immunization,133,http://hl7.org/fhir/sid/cvx,Pneumococcal conjugate PCV 13,4048,1566
observation,2514-8,http://loinc.org,Ketones [Presence] in Urine by Test strip,71649,1565
observation,5803-2,http://loinc.org,pH of Urine by Test strip,71649,1565
immunization,207,http://hl7.org/fhir/sid/cvx,"COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5mL dose or 50 mcg/0.25mL dose",3020,1512
condition,82423001,http://snomed.info/sct,Chronic pain (finding),1472,1472
encounter,305336008,http://snomed.info/sct,Admission to hospice (procedure),1740,1391
observation,10834-0,http://loinc.org,Globulin [Mass/volume] in Serum by calculation,24541,1386
diagnostic_report,24357-6,http://loinc.org,Urinalysis macro (dipstick) panel - Urine,70282,1381
procedure,D0602,http://www.ada.org/cdt,caries risk assessment and documentation with a finding of moderate risk,2314,1375
encounter,308646001,http://snomed.info/sct,Death Certification,1336,1336
diagnostic_report,69409-1,http://loinc.org,U.S. standard certificate of death - 2003 revision,1336,1336
medication_request,849574,http://www.nlm.nih.gov/research/umls/rxnorm,Naproxen sodium 220 MG Oral Tablet,1386,1294
immunization,10,http://hl7.org/fhir/sid/cvx,IPV,3530,1293
immunization,20,http://hl7.org/fhir/sid/cvx,DTaP,4316,1263
observation,77606-2,http://loinc.org,Weight-for-length Per age and sex,12197,1247
medication_request,562251,http://www.nlm.nih.gov/research/umls/rxnorm,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,1398,1242
encounter,308335008,http://snomed.info/sct,Patient encounter procedure (procedure),7781,1225
immunization,03,http://hl7.org/fhir/sid/cvx,MMR,1767,1206
condition,237602007,http://snomed.info/sct,Metabolic syndrome X (disorder),1202,1202
immunization,21,http://hl7.org/fhir/sid/cvx,varicella,1754,1197
observation,25428-4,http://loinc.org,Glucose [Presence] in Urine by Test strip,71002,1146
immunization,114,http://hl7.org/fhir/sid/cvx,meningococcal MCV4P,1550,1136
encounter,698314001,http://snomed.info/sct,Consultation for treatment (procedure),4423,1100
allergy,609328004,http://snomed.info/sct,Allergic disposition (finding),1046,1046
procedure,63332003,http://snomed.info/sct,History AND physical examination (procedure),1189,1043
medication_request,310798,http://www.nlm.nih.gov/research/umls/rxnorm,Hydrochlorothiazide 25 MG Oral Tablet,38434,1027
condition,125605004,http://snomed.info/sct,Fracture of bone (disorder),1144,1012
immunization,83,http://hl7.org/fhir/sid/cvx,"Hep A, ped/adol, 2 dose",1740,988
immunization,49,http://hl7.org/fhir/sid/cvx,Hib (PRP-OMP),2601,948
observation,5797-6,http://loinc.org,Ketones [Mass/volume] in Urine by Test strip,69635,945
observation,34533-0,http://loinc.org,Odor of Urine,69114,945
immunization,08,http://hl7.org/fhir/sid/cvx,"Hep B, adolescent or pediatric",2573,924
medication_request,308136,http://www.nlm.nih.gov/research/umls/rxnorm,amLODIPine 2.5 MG Oral Tablet,33531,912
condition,127013003,http://snomed.info/sct,Disorder of kidney due to diabetes mellitus (disorder),906,906
immunization,119,http://hl7.org/fhir/sid/cvx,"rotavirus, monovalent",1699,866
procedure,84478008,http://snomed.info/sct,Occupational therapy (regime/therapy),2513,850
condition,384709000,http://snomed.info/sct,Sprain (morphologic abnormality),855,808
diagnostic_report,89206-7,http://loinc.org,Patient Health Questionnaire-9: Modified for Teens [Reported.PHQ.Teen],2672,806
observation,89579-7,http://loinc.org,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,5327,803
encounter,424441002,http://snomed.info/sct,Prenatal initial visit (regime/therapy),1790,797
procedure,D2391,http://www.ada.org/cdt,"resin-based composite - one surface, posterior",951,789
immunization,33,http://hl7.org/fhir/sid/cvx,"pneumococcal polysaccharide vaccine, 23 valent",781,770
condition,399261000,http://snomed.info/sct,History of coronary artery bypass grafting (situation),722,722
encounter,305408004,http://snomed.info/sct,Admission to surgical department (procedure),720,720
immunization,62,http://hl7.org/fhir/sid/cvx,"HPV, quadrivalent",1746,711
condition,105531004,http://snomed.info/sct,Housing unsatisfactory (finding),711,711
observation,X9999-0,http://loinc.org,Operative Status,710,699
condition,267020005,http://snomed.info/sct,History of tubal ligation (situation),693,693
medication_request,313820,http://www.nlm.nih.gov/research/umls/rxnorm,Acetaminophen 160 MG Chewable Tablet,917,679
immunization,115,http://hl7.org/fhir/sid/cvx,Tdap,646,646
encounter,169762003,http://snomed.info/sct,Postnatal visit (regime/therapy),1103,636
diagnostic_report,89577-1,http://loinc.org,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,5004,636
