table_name,column_name,total_rows,non_null_count,fill_rate_pct
patient,id,18999,18999,100.0
patient,gender,18999,18999,100.0
patient,birthDate,18999,18999,100.0
patient,deceasedDateTime,18999,3999,21.05
patient,maritalStatus,18999,18999,100.0
patient,state,18999,18999,100.0
patient,city,18999,18999,100.0
patient,postalCode,18999,18999,100.0
patient,race,18999,18999,100.0
patient,ethnicity,18999,18999,100.0
condition,id,775813,775813,100.0
condition,patient_id,775813,775813,100.0
condition,encounter_id,775813,775813,100.0
condition,code,775813,775813,100.0
condition,system,775813,775813,100.0
condition,display,775813,775813,100.0
condition,clinicalStatus,775813,775813,100.0
condition,verificationStatus,775813,775813,100.0
condition,onsetDateTime,775813,775813,100.0
condition,abatementDateTime,775813,576637,74.33
condition,recordedDate,775813,775813,100.0
observation,id,14393959,14393959,100.0
observation,patient_id,14393959,14393959,100.0
observation,encounter_id,14393959,14393959,100.0
observation,code,14393959,14393959,100.0
observation,system,14393959,14393959,100.0
observation,display,14393959,14393959,100.0
observation,category,14393959,14393959,100.0
observation,status,14393959,14393959,100.0
observation,effectiveDateTime,14393959,14393959,100.0
observation,valueQuantity,14393959,11017802,76.54
observation,unit,14393959,11017582,76.54
observation,valueCodeableConcept,14393959,2781885,19.33
observation,valueCodeableConcept_system,14393959,2781885,19.33
observation,valueString,14393959,7630,0.05
medication_request,id,1381065,1381065,100.0
medication_request,patient_id,1381065,1381065,100.0
medication_request,encounter_id,1381065,1381065,100.0
medication_request,code,1381065,923916,66.9
medication_request,system,1381065,923916,66.9
medication_request,display,1381065,923916,66.9
medication_request,status,1381065,1381065,100.0
medication_request,intent,1381065,1381065,100.0
medication_request,authoredOn,1381065,1381065,100.0
medication_request,requester_npi,1381065,1381065,100.0
medication_request,requester_name,1381065,1381065,100.0
encounter,id,1396066,1396066,100.0
encounter,patient_id,1396066,1396066,100.0
encounter,class_code,1396066,1396066,100.0
encounter,type_code,1396066,1396066,100.0
encounter,type_system,1396066,1396066,100.0
encounter,type_display,1396066,1396066,100.0
encounter,status,1396066,1396066,100.0
encounter,period_start,1396066,1396066,100.0
encounter,period_end,1396066,1396066,100.0
encounter,reasonCode,1396066,782825,56.07
encounter,participant_npi,1396066,1396066,100.0
encounter,participant_name,1396066,1396066,100.0
procedure,id,3032773,3032773,100.0
procedure,patient_id,3032773,3032773,100.0
procedure,encounter_id,3032773,3032773,100.0
procedure,code,3032773,3032773,100.0
procedure,system,3032773,3032773,100.0
procedure,display,3032773,3032773,100.0
procedure,status,3032773,3032773,100.0
procedure,performedDateTime,3032773,3032773,100.0
immunization,id,289936,289936,100.0
immunization,patient_id,289936,289936,100.0
immunization,encounter_id,289936,289936,100.0
immunization,vaccineCode,289936,289936,100.0
immunization,vaccineCode_system,289936,289936,100.0
immunization,vaccineCode_display,289936,289936,100.0
immunization,status,289936,289936,100.0
immunization,occurrenceDateTime,289936,289936,100.0
allergy,id,15938,15938,100.0
allergy,patient_id,15938,15938,100.0
allergy,code,15938,15938,100.0
allergy,system,15938,15938,100.0
allergy,display,15938,15938,100.0
allergy,clinicalStatus,15938,15938,100.0
allergy,verificationStatus,15938,15938,100.0
allergy,category,15938,15938,100.0
allergy,criticality,15938,15938,100.0
allergy,recordedDate,15938,15938,100.0
careplan,id,66632,66632,100.0
careplan,patient_id,66632,66632,100.0
careplan,encounter_id,66632,66632,100.0
careplan,category_code,66632,66632,100.0
careplan,category_system,66632,66632,100.0
careplan,category_display,66632,0,0.0
careplan,status,66632,66632,100.0
careplan,period_start,66632,66632,100.0
careplan,period_end,66632,30206,45.33
diagnostic_report,id,2981730,2981730,100.0
diagnostic_report,patient_id,2981730,2981730,100.0
diagnostic_report,encounter_id,2981730,2981730,100.0
diagnostic_report,code,2981730,2981730,100.0
diagnostic_report,system,2981730,2981730,100.0
diagnostic_report,display,2981730,2981730,100.0
diagnostic_report,category,2981730,2316012,77.67
diagnostic_report,status,2981730,2981730,100.0
diagnostic_report,effectiveDateTime,2981730,2981730,100.0
