table_name,code,code_system,display,row_count,distinct_patient_count
condition,314529007,http://snomed.info/sct,Medication review due (situation),175309,18999
diagnostic_report,34117-2,http://loinc.org,History and physical note,1396066,18999
diagnostic_report,58410-2,http://loinc.org,CBC panel - Blood by Automated count,73062,18999
observation,6690-2,http://loinc.org,"Leukocytes [#/volume] in Blood by Automated count",73062,18999
observation,788-0,http://loinc.org,Erythrocyte [DistWidth] in Blood by Automated count,73062,18999
observation,787-2,http://loinc.org,MCV [Entitic mean volume] in Red Blood Cells by Automated count,73062,18999
observation,8302-2,http://loinc.org,Body Height,310771,18999
observation,32207-3,http://loinc.org,Platelet distribution width [Entitic volume] in Blood by Automated count,51685,18999
observation,32623-1,http://loinc.org,Platelet [Entitic mean volume] in Blood by Automated count,51685,18999
observation,85354-9,http://loinc.org,Blood Pressure panel with all children optional,343383,18999
observation,785-6,http://loinc.org,MCH [Entitic mass] by Automated count,73062,18999
observation,29463-7,http://loinc.org,Body Weight,326462,18999
observation,72166-2,http://loinc.org,Tobacco smoking status,309893,18999
observation,4544-3,http://loinc.org,Hematocrit [Volume Fraction] of Blood by Automated count,71565,18999
observation,777-3,http://loinc.org,"Platelets [#/volume] in Blood by Automated count",73062,18999
observation,8867-4,http://loinc.org,Heart rate,315356,18999
observation,718-7,http://loinc.org,Hemoglobin [Mass/volume] in Blood,73213,18999
observation,72514-3,http://loinc.org,Pain severity - 0-10 verbal numeric rating [Score] - Reported,649761,18999
observation,786-4,http://loinc.org,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,73062,18999
observation,9279-1,http://loinc.org,Respiratory rate,315356,18999
observation,789-8,http://loinc.org,"Erythrocytes [#/volume] in Blood by Automated count",73062,18999
procedure,430193006,http://snomed.info/sct,Medication reconciliation (procedure),171261,18784
immunization,140,http://hl7.org/fhir/sid/cvx,"Influenza, split virus, trivalent, PF",157431,18756
observation,39156-5,http://loinc.org,Body mass index (BMI) [Ratio],284820,18314
encounter,185349003,http://snomed.info/sct,Encounter for check up (procedure),257056,17974
encounter,185345009,http://snomed.info/sct,Encounter for symptom (procedure),62385,17812
procedure,103697008,http://snomed.info/sct,Patient referral for dental care (procedure),136241,17646
careplan,assess-plan,http://hl7.org/fhir/us/core/CodeSystem/careplan-category,,66632,17204
procedure,171207006,http://snomed.info/sct,Depression screening (procedure),389831,15458
procedure,710841007,http://snomed.info/sct,Assessment of anxiety (procedure),122718,15096
diagnostic_report,69737-5,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7),122697,15091
observation,70274-6,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ],122697,15091
condition,66383009,http://snomed.info/sct,Gingivitis (disorder),30602,15074
procedure,428211000124100,http://snomed.info/sct,Assessment of substance use (procedure),150401,14292
procedure,710824005,http://snomed.info/sct,Assessment of health and social care needs (procedure),239883,14090
observation,93025-5,http://loinc.org,"Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]",239475,14086
encounter,162673000,http://snomed.info/sct,General examination of patient (procedure),184503,14085
diagnostic_report,55757-9,http://loinc.org,Patient Health Questionnaire 2 item (PHQ-2) [Reported],187975,13925
observation,55758-7,http://loinc.org,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],187975,13925
condition,73595000,http://snomed.info/sct,Stress (finding),65594,13892
condition,160903007,http://snomed.info/sct,Full-time employment (finding),59588,13881
procedure,866148006,http://snomed.info/sct,Screening for domestic abuse (procedure),71473,12995
diagnostic_report,76499-3,http://loinc.org,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]",71473,12995
observation,76504-0,http://loinc.org,Total score [HARK],71473,12995
encounter,185347001,http://snomed.info/sct,Encounter for problem (procedure),428242,12903
immunization,113,http://hl7.org/fhir/sid/cvx,"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed",12951,12647
diagnostic_report,57698-3,http://loinc.org,Lipid panel with direct LDL - Serum or Plasma,144508,12374
observation,2571-8,http://loinc.org,Triglyceride [Mass/volume] in Serum or Plasma,144508,12374
observation,2093-3,http://loinc.org,Cholesterol [Mass/volume] in Serum or Plasma,144508,12374
observation,2085-9,http://loinc.org,Cholesterol in HDL [Mass/volume] in Serum or Plasma,144508,12374
observation,18262-6,http://loinc.org,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,144508,12374
encounter,50849002,http://snomed.info/sct,Emergency room admission (procedure),44661,12177
procedure,763302001,http://snomed.info/sct,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),71252,12021
diagnostic_report,72109-2,http://loinc.org,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],71252,12021
observation,75626-2,http://loinc.org,Total score [AUDIT-C],71252,12021
procedure,713106006,http://snomed.info/sct,Screening for drug abuse (procedure),71256,11981
diagnostic_report,82666-9,http://loinc.org,Drug Abuse Screening Test-10 [DAST-10],71256,11981
observation,82667-7,http://loinc.org,Total score [DAST-10],71256,11981
condition,444814009,http://snomed.info/sct,Viral sinusitis (disorder),18893,11805
condition,160904001,http://snomed.info/sct,Part-time employment (finding),38389,11792
observation,8310-5,http://loinc.org,Body Temperature,19717,10659
encounter,33879002,http://snomed.info/sct,Administration of vaccine to produce active immunity (procedure),18937,10227
condition,422650009,http://snomed.info/sct,Social isolation (finding),22883,10057
condition,423315002,http://snomed.info/sct,Limited social contact (finding),23347,10032
encounter,410620009,http://snomed.info/sct,Well child visit (procedure),70540,9659
condition,162864005,http://snomed.info/sct,Body mass index 30+ - obesity (finding),9570,9570
observation,20565-8,http://loinc.org,"Carbon dioxide, total [Moles/volume] in Blood",250968,9511
observation,6299-2,http://loinc.org,Urea Nitrogen [Mass/volume] in Blood,250968,9511
observation,6298-4,http://loinc.org,Potassium [Moles/volume] in Blood,250968,9511
observation,49765-1,http://loinc.org,Calcium [Mass/volume] in Blood,250968,9511
observation,2947-0,http://loinc.org,Sodium [Moles/volume] in Blood,250968,9511
observation,2339-0,http://loinc.org,Glucose [Mass/volume] in Blood,250968,9511
observation,38483-4,http://loinc.org,Creatinine [Mass/volume] in Blood,250968,9511
observation,2069-3,http://loinc.org,Chloride [Moles/volume] in Blood,250968,9511
condition,741062008,http://snomed.info/sct,Not in labor force (finding),21539,9123
observation,4548-4,http://loinc.org,Hemoglobin A1c/Hemoglobin.total in Blood,224946,8713
diagnostic_report,51990-0,http://loinc.org,Basic Metabolic Panel - Blood,177009,8528
condition,706893006,http://snomed.info/sct,Victim of intimate partner abuse (finding),15044,8499
procedure,715252007,http://snomed.info/sct,Depression screening using Patient Health Questionnaire Nine Item score (procedure),20436,8447
condition,195662009,http://snomed.info/sct,Acute viral pharyngitis (disorder),11129,8391
procedure,D7140,http://www.ada.org/cdt,extraction erupted tooth or exposed root elevation and/or forceps removal,33875,8210
encounter,32485007,http://snomed.info/sct,Hospital admission (procedure),11226,7987
encounter,702927004,http://snomed.info/sct,Urgent care clinic (environment),85735,7859
condition,224299000,http://snomed.info/sct,Received higher education (finding),7732,7732
medication_request,313782,http://www.nlm.nih.gov/research/umls/rxnorm,Acetaminophen 325 MG Oral Tablet,9929,7714
condition,714628002,http://snomed.info/sct,Prediabetes (finding),7583,7583
condition,10509002,http://snomed.info/sct,Acute bronchitis (disorder),9003,7251
condition,271737000,http://snomed.info/sct,Anemia (disorder),7111,7111
observation,33914-3,http://loinc.org,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,324720,6970
procedure,D0120,http://www.ada.org/cdt,periodic oral evaluation  established patient,10861,6912
procedure,315639002,http://snomed.info/sct,Initial patient assessment (procedure),9185,6769
procedure,370789001,http://snomed.info/sct,Development of individualized plan of care (procedure),9185,6769
condition,424393004,http://snomed.info/sct,Reports of violence in the environment (finding),12851,6767
procedure,762993000,http://snomed.info/sct,Assessment using Morse Fall Scale (procedure),98961,6550
diagnostic_report,59453-1,http://loinc.org,Morse Fall Scale panel,98960,6550
observation,59461-4,http://loinc.org,Fall risk level [Morse Fall Scale],98960,6550
observation,59460-6,http://loinc.org,Fall risk total [Morse Fall Scale],98960,6550
condition,80967001,http://snomed.info/sct,Dental caries,8099,6262
condition,73438004,http://snomed.info/sct,Unemployed (finding),8120,6234
diagnostic_report,44249-1,http://loinc.org,PHQ-9 quick depression assessment panel [Reported.PHQ],11319,5944
observation,44261-6,http://loinc.org,Patient Health Questionnaire 9 item (PHQ-9) total score [Reported],11319,5944
observation,59576-9,http://loinc.org,Body mass index (BMI) [Percentile] Per age and sex,47057,5741
diagnostic_report,24323-8,http://loinc.org,Comprehensive metabolic 2000 panel - Serum or Plasma,93930,5609
observation,2885-2,http://loinc.org,Protein [Mass/volume] in Serum or Plasma,93930,5609
observation,1742-6,http://loinc.org,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,93930,5609
observation,6768-6,http://loinc.org,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,93930,5609
observation,1751-7,http://loinc.org,Albumin [Mass/volume] in Serum or Plasma,93930,5609
observation,1920-8,http://loinc.org,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,93930,5609
observation,1975-2,http://loinc.org,Bilirubin.total [Mass/volume] in Serum or Plasma,93881,5586
procedure,D0604,http://www.ada.org/cdt,"antigen testing for a public health related pathogen, including coronavirus",13511,5460
procedure,73761001,http://snomed.info/sct,Colonoscopy (procedure),10340,5446
immunization,208,http://hl7.org/fhir/sid/cvx,"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose",10854,5434
encounter,390906007,http://snomed.info/sct,Follow-up encounter (procedure),34231,5427
procedure,D0603,http://www.ada.org/cdt,caries risk assessment and documentation with a finding of high risk,10008,5217
condition,59621000,http://snomed.info/sct,Essential hypertension (disorder),5177,5177
procedure,D1206,http://www.ada.org/cdt,topical application of fluoride varnish,7487,5175
condition,274531002,http://snomed.info/sct,Abnormal findings diagnostic imaging heart+coronary circulat (finding),5163,5163
condition,414545008,http://snomed.info/sct,Ischemic heart disease (disorder),5147,5147
medication_request,705129,http://www.nlm.nih.gov/research/umls/rxnorm,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,5051,5051
procedure,D1110,http://www.ada.org/cdt,prophylaxis  adult,7243,4955
medication_request,866412,http://www.nlm.nih.gov/research/umls/rxnorm,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,4931,4931
immunization,133,http://hl7.org/fhir/sid/cvx,Pneumococcal conjugate PCV 13,12738,4926
procedure,D1208,http://www.ada.org/cdt,topical application of fluoride  excluding varnish,6998,4900
encounter,424619006,http://snomed.info/sct,Prenatal visit (regime/therapy),29709,4811
condition,266948004,http://snomed.info/sct,Has a criminal record (finding),4692,4692
observation,2514-8,http://loinc.org,Ketones [Presence] in Urine by Test strip,212163,4598
observation,5811-5,http://loinc.org,Specific gravity of Urine by Test strip,212163,4598
observation,5802-4,http://loinc.org,Nitrite [Presence] in Urine by Test strip,212163,4598
observation,5803-2,http://loinc.org,pH of Urine by Test strip,212163,4598
observation,5799-2,http://loinc.org,Leukocyte esterase [Presence] in Urine by Test strip,212163,4598
observation,5794-3,http://loinc.org,Hemoglobin [Presence] in Urine by Test strip,212163,4598
procedure,D7210,http://www.ada.org/cdt,extraction erupted tooth requiring removal of bone and/or sectioning of tooth and including elevation of mucoperiosteal flap if indicated,15085,4564
observation,2345-7,http://loinc.org,Glucose [Mass/volume] in Serum or Plasma,180131,4510
observation,2160-0,http://loinc.org,Creatinine [Mass/volume] in Serum or Plasma,180131,4510
observation,2028-9,http://loinc.org,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",180131,4510
observation,2823-3,http://loinc.org,Potassium [Moles/volume] in Serum or Plasma,180131,4510
observation,3094-0,http://loinc.org,Urea nitrogen [Mass/volume] in Serum or Plasma,180131,4510
observation,2951-2,http://loinc.org,Sodium [Moles/volume] in Serum or Plasma,180131,4510
observation,2075-0,http://loinc.org,Chloride [Moles/volume] in Serum or Plasma,180131,4510
